,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
22,300,300,400,300,300,300,300,200,200,300,300,200,300,300,200,300,200,200,200,200,200,300,200,200,300,200,300,300,300,300,400,400,300
27,400,400,400,300,400,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,400,300,300,400,400,400,500,500,400,400
32,500,400,500,500,500,500,400,400,400,400,400,500,400,400,400,400,400,400,400,400,400,400,300,400,500,500,400,600,600,600,600,600,600
37,700,800,800,700,700,700,600,700,700,600,700,700,600,600,600,600,600,600,600,600,500,600,500,600,500,600,600,600,700,700,800,800,800
42,1200,1100,1200,1100,1200,1100,1100,1100,1000,1100,1100,1100,1000,900,1000,900,1000,900,1000,900,800,900,800,900,900,900,800,900,900,1000,1100,1100,1000
47,2000,2000,1800,1900,1900,1800,1800,1800,1700,1600,1700,1600,1700,1600,1700,1600,1600,1600,1600,1500,1500,1400,1400,1400,1300,1400,1300,1400,1300,1400,1400,1600,1500
52,3100,3300,3100,3100,3200,3000,2700,2900,2800,2900,2600,2600,2800,2700,2700,2700,2500,2400,2400,2500,2400,2300,2200,2200,2300,2300,2200,2200,2200,2200,2300,2200,2200
57,5600,5300,5100,5100,4900,5100,4600,4600,4600,4500,4200,4400,4200,4000,4000,3800,3800,3900,3800,3700,3600,3800,3500,3800,3600,3600,3600,3500,3300,3700,3600,3500,3400
62,8500,8300,8400,7900,8200,7700,7800,7400,7200,7000,6700,7000,7100,6700,6600,6400,6100,5900,5800,5600,5400,5600,5500,5500,5500,5500,5500,5400,5200,5600,5700,5700,5300
67,13100,12600,12800,13400,12700,12300,12000,12000,11600,11600,11600,11200,11200,10500,10300,9800,9900,9800,9100,9200,9100,8800,8400,8200,8500,8500,8400,8400,8200,8500,8700,8900,8300
72,21500,20800,21000,21000,20400,20200,20100,19800,18600,19300,18900,18000,17900,17300,17400,16300,16500,15800,15500,14800,14200,13700,14200,14200,14100,14400,14000,13800,12900,13200,13500,13700,13000
77,36200,34900,36200,36400,34900,34900,33600,33200,33000,32100,31700,31100,30000,29200,29400,27900,27200,26500,25800,25300,25000,23400,24200,22800,23100,23100,22500,22600,21800,23000,22500,23000,22700
82,61200,58900,61400,61500,62000,61800,61300,60600,58500,57300,55200,53500,52400,51300,51300,47900,49000,47500,47800,45200,45100,43200,42800,42500,42200,41500,41300,41600,39700,40800,39600,42000,40200
87,105500,101500,106200,106500,108200,106500,107500,106800,107700,104400,101000,100400,99700,94200,96100,86700,89700,87600,83600,83000,81800,80000,79400,79900,77900,75600,76000,77200,73800,76700,74700,79500,73200
