Year,Average Temperature
1991,8.940109589041096
1992,7.036448087431695
1993,7.2615342465753425
1994,7.405068493150685
1995,7.878383561643836
1996,7.180081967213114
1997,7.586821917808219
1998,10.188164383561643
1999,9.4933698630137
2000,8.259699453551914
2001,9.688054794520548
2002,9.458876712328768
2003,7.971835616438356
2004,8.235245901639344
2005,9.05490410958904
2006,9.774328767123288
2007,8.992109589041096
2008,8.259071038251367
2009,8.019917808219178
2010,9.5966301369863
2011,9.164493150684931
2012,10.515928961748633
2013,8.521808219178082
2014,7.468712328767123
2015,8.630164383561645
2016,10.074371584699453
2017,9.307671232876713
2018,9.097397260273974
2019,8.167205479452056
2020,9.745765027322404
2021,10.121890410958905
2022,9.119835616438355
2023,10.11449315068493
